RefSeq,JOA1,JOA2,JOA3,JOA4,JOA5,JOB1,JOB2,JOB3,JOB4,JOB5
NM_000014.4,21,30,87,72,28,4,9,17,9,16
NM_000015.2,0,0,0,0,0,0,0,0,0,0
NM_000016.2,4,2,18,17,6,1,3,12,2,6
NM_000017.1,0,5,6,0,1,0,0,1,1,2
NM_000018.2,0,0,7,0,0,0,0,2,0,2
NM_000019.2,0,4,23,15,7,0,2,10,5,3
NM_000020.2,0,0,0,0,0,0,0,0,0,0
NM_000021.2,2,2,7,6,5,0,6,5,5,6
NM_000022.2,3,2,9,10,2,0,0,1,0,0
NM_000023.1,0,0,0,0,0,0,0,1,1,0
NM_000024.4,0,0,0,0,0,0,0,0,1,0
NM_000025.1,0,0,0,0,0,0,0,0,0,0
NM_000026.1,2,8,19,12,7,1,0,1,0,1
NM_000027.2,1,2,5,3,1,0,0,5,1,1
NM_000028.2,0,0,0,0,0,0,0,0,0,0
NM_000029.2,4,13,40,30,17,9,8,41,21,22
NM_000030.1,0,0,0,0,0,0,0,0,0,0
NM_000031.4,0,0,0,0,0,0,1,0,1,0
NM_000032.2,0,0,0,1,0,0,0,0,0,0
NM_000033.2,1,3,3,4,2,0,0,0,0,1
NM_000034.2,3,3,5,4,3,0,0,0,2,4
NM_000035.2,0,0,0,0,0,0,0,0,0,0
NM_000036.1,0,0,0,0,0,0,0,0,0,0
NM_000037.3,0,0,0,0,0,0,0,0,0,0
NM_000038.3,2,6,11,8,6,10,40,46,41,26
NM_000039.1,8,21,51,60,32,0,0,0,0,0
NM_000040.1,0,0,2,1,2,0,0,0,0,0
NM_000041.2,8,15,77,34,18,7,13,67,28,36
NM_000042.2,7,6,26,23,17,0,0,0,0,0
NM_000043.3,0,0,0,0,0,0,0,0,0,0
NM_000044.2,0,0,0,0,0,0,0,0,0,0
NM_000045.2,0,0,0,0,0,1,0,1,0,0
NM_000046.2,2,6,6,2,4,2,2,2,0,1
NM_000047.1,0,2,0,3,0,0,0,1,0,0
NM_000048.3,0,0,0,0,0,0,0,0,0,0
NM_000049.2,0,1,0,0,0,3,0,4,4,2
NM_000050.4,3,12,36,31,12,0,1,5,1,3
NM_000051.3,0,0,0,0,1,0,0,0,0,0
NM_000052.3,2,4,5,8,1,0,2,2,3,1
NM_000053.2,0,7,1,4,2,0,0,1,1,2
NM_000054.2,0,0,0,0,0,0,0,0,0,0
NM_000055.2,0,1,5,4,2,0,0,0,2,3
NM_000056.2,0,0,4,1,1,1,0,0,0,0
NM_000057.2,2,2,7,5,5,2,0,0,1,0
NM_000059.3,3,7,6,9,1,0,3,0,0,1
NM_000060.2,1,2,4,3,0,0,1,2,1,1
NM_000061.1,0,1,1,1,0,0,0,0,0,0
NM_000062.2,0,0,0,0,0,0,0,0,0,1
NM_000063.3,0,1,3,4,5,0,0,0,0,0
NM_000064.2,15,21,42,53,46,1,2,6,5,8
NM_000065.1,0,0,0,0,0,0,0,0,0,0
NM_000066.2,0,2,0,1,0,0,0,0,0,0
NM_000067.1,0,0,2,3,1,0,6,13,12,8
NM_000068.3,0,0,3,0,0,5,24,39,21,23
NM_000069.2,0,0,0,0,0,0,0,0,0,0
NM_000070.2,0,0,0,0,0,0,0,0,0,0
NM_000071.1,7,7,19,19,11,6,11,18,4,8
NM_000072.2,0,0,0,0,0,0,0,0,0,0
NM_000073.1,0,1,2,2,0,0,0,0,0,0
NM_000074.2,0,1,0,0,0,0,0,0,0,0
NM_000075.2,5,2,19,25,13,0,0,1,3,0
NM_000076.1,1,5,12,4,7,0,2,5,1,6
NM_000077.3,2,1,4,7,3,0,0,1,0,0
NM_000078.1,0,0,0,0,0,0,0,0,0,0
NM_000079.2,0,1,0,0,0,0,0,0,0,0
NM_000080.2,0,0,0,0,0,0,2,1,0,0
NM_000081.2,6,6,8,6,3,0,11,14,6,13
NM_000082.2,0,0,3,2,2,0,0,3,0,0
NM_000083.2,1,0,0,0,0,0,0,0,0,0
NM_000084.2,1,5,5,5,1,0,4,2,2,1
NM_000085.1,0,0,0,0,0,0,1,0,0,0
NM_000086.2,0,0,0,0,0,0,0,0,0,0
NM_000087.2,0,0,0,0,0,0,0,0,0,0
NM_000088.3,8,18,31,28,16,0,0,1,0,2
NM_000089.3,22,32,70,68,32,0,1,3,4,3
NM_000090.3,0,0,0,3,0,0,0,0,0,0
NM_000091.3,0,0,0,0,0,0,0,0,0,0
NM_000092.4,0,1,0,1,0,0,0,0,1,0
NM_000093.3,10,11,25,17,8,0,0,0,3,0
NM_000094.2,1,3,3,7,7,3,4,1,1,6
NM_000095.2,0,0,0,0,0,0,0,0,1,0
NM_000096.2,0,7,9,14,4,2,1,5,2,1
NM_000097.4,0,4,6,7,11,1,2,8,7,5
NM_000098.1,2,2,6,6,4,2,2,3,1,0
NM_000099.2,2,7,30,25,18,2,14,96,56,68
NM_000100.2,5,18,29,25,14,0,4,7,4,4
NM_000101.2,2,5,50,16,29,0,0,1,1,1
NM_000102.3,0,0,0,0,0,0,0,0,0,0
NM_000103.2,0,0,0,0,1,0,0,0,0,0
NM_000104.2,5,8,3,10,7,0,2,3,3,3
NM_000106.4,0,1,0,0,0,0,0,0,0,0
NM_000107.1,2,7,9,6,6,0,0,3,0,3
NM_000108.3,5,12,14,19,17,1,6,18,5,12
NM_000109.2,0,0,0,0,0,0,0,0,0,0
NM_000110.3,3,5,1,2,2,1,0,4,0,0
NM_000111.1,0,0,0,0,0,0,0,0,0,0
NM_000112.3,2,7,5,4,0,0,1,6,1,2
NM_000113.2,2,6,6,7,6,0,3,5,1,7
NM_000114.2,0,0,0,0,0,0,0,0,0,0
